Model,Scenario,Episode Number,Reward
Single Moon,Moon - Wind=15,61,-164.51726320586775
Single Moon,Moon - Wind=15,62,-75.44338694812296
Single Moon,Moon - Wind=15,63,280.9220049161705
Single Moon,Moon - Wind=15,64,292.45150719866825
Single Moon,Moon - Wind=15,65,84.84168117408069
Single Moon,Moon - Wind=15,66,252.6378498289066
Single Moon,Moon - Wind=15,67,-78.31455814574038
Single Moon,Moon - Wind=15,68,268.99742141164575
Single Moon,Moon - Wind=15,69,-324.0758884925475
Single Moon,Moon - Wind=15,70,6.027669705140937
Single Moon,Moon - Wind=15,71,257.27901439526715
Single Moon,Moon - Wind=15,72,-58.83215934628551
Single Moon,Moon - Wind=15,73,138.95373781621845
Single Moon,Moon - Wind=15,74,-41.087262174974796
Single Moon,Moon - Wind=15,75,-84.63038921458515
Single Moon,Moon - Wind=15,76,213.35579277174824
Single Moon,Moon - Wind=15,77,-114.83778951629382
Single Moon,Moon - Wind=15,78,207.3759182566498
Single Moon,Moon - Wind=15,79,-274.4011130073768
Single Moon,Moon - Wind=15,80,-156.4941989231834
Single Moon,Moon - Wind=15,81,304.938488867043
Single Moon,Moon - Wind=15,82,284.0008852899042
Single Moon,Moon - Wind=15,83,-131.69883637214943
Single Moon,Moon - Wind=15,84,321.6237987393266
Single Moon,Moon - Wind=15,85,299.62323356734487
Single Moon,Moon - Wind=15,86,-72.0548707418121
Single Moon,Moon - Wind=15,87,281.48058408008455
Single Moon,Moon - Wind=15,88,264.58597079341513
Single Moon,Moon - Wind=15,89,-152.14899872808292
Single Moon,Moon - Wind=15,90,123.89541683775192
Single Moon,Moon - Wind=15,91,-171.74554595028235
Single Moon,Moon - Wind=15,92,-107.92572884491271
Single Moon,Moon - Wind=15,93,130.5990354315336
Single Moon,Moon - Wind=15,94,299.8403179650112
Single Moon,Moon - Wind=15,95,291.3432288613073
Single Moon,Moon - Wind=15,96,-248.502117725721
Single Moon,Moon - Wind=15,97,-125.16190672756859
Single Moon,Moon - Wind=15,98,47.76078488173809
Single Moon,Moon - Wind=15,99,-19.76268631603294
Single Moon,Moon - Wind=15,100,-195.8854086681456
Single Moon,Moon - Wind=15,101,-243.16801011037958
Single Moon,Moon - Wind=15,102,-9.78479767593123
Single Moon,Moon - Wind=15,103,-162.52048398402786
Single Moon,Moon - Wind=15,104,255.19614343564217
Single Moon,Moon - Wind=15,105,240.46506353416456
Single Moon,Moon - Wind=15,106,-100.08561056206197
Single Moon,Moon - Wind=15,107,-191.26007563937944
Single Moon,Moon - Wind=15,108,-77.7361449783523
Single Moon,Moon - Wind=15,109,-24.04971974025719
Single Moon,Moon - Wind=15,110,288.4352073044712
Single Moon,Moon - Wind=15,111,268.67081224698256
Single Moon,Moon - Wind=15,112,279.13579967628914
Single Moon,Moon - Wind=15,113,-73.68491499752406
Single Moon,Moon - Wind=15,114,-209.78714816342037
Single Moon,Moon - Wind=15,115,-82.09378150372211
Single Moon,Moon - Wind=15,116,-49.773151107905804
Single Moon,Moon - Wind=15,117,-164.58595962570587
Single Moon,Moon - Wind=15,118,301.35228371591813
Single Moon,Moon - Wind=15,119,233.8948372136852
Single Moon,Moon - Wind=15,120,-126.79748895807852
Single Moon,Moon - Wind=15,121,240.59866256136743
Single Moon,Moon - Wind=15,122,200.57662739986876
Single Moon,Moon - Wind=15,123,-195.1006480632447
Single Moon,Moon - Wind=15,124,207.99700399362465
Single Moon,Moon - Wind=15,125,130.77432623224252
Single Moon,Moon - Wind=15,126,-25.456771738320185
Single Moon,Moon - Wind=15,127,-169.13812640936698
Single Moon,Moon - Wind=15,128,283.2518354401815
Single Moon,Moon - Wind=15,129,159.66881720536125
Single Moon,Moon - Wind=15,130,-83.1698622570584
Single Moon,Moon - Wind=15,131,-78.5745620826529
Single Moon,Moon - Wind=15,132,-107.12358186563995
Single Moon,Moon - Wind=15,133,-8.31406346680069
Single Moon,Moon - Wind=15,134,-124.86527874605662
Single Moon,Moon - Wind=15,135,-20.352546156389863
